,parentId,authorDisplayName,replyComment,publishedAt,likeCount,Label
0,UgwZ-bhZI0oloumwyRB4AaABAg,치 니Hàn Gia Nhi,"""Chạm Đáy Nỗi Đau"" nha bạn",2019-01-20T05:20:53Z,0,null
1,UgxfpZUbFDfkun6_TDt4AaABAg,치 니Hàn Gia Nhi,chung động giúp đỡ mhau có gì đâu 😂,2019-01-21T13:49:14Z,0,null
2,UgxfpZUbFDfkun6_TDt4AaABAg,Nguyen Vo Lan Thanh,Cảm ơn,2019-01-21T13:39:39Z,0,null
3,UgxfpZUbFDfkun6_TDt4AaABAg,치 니Hàn Gia Nhi,"""Vì Anh Thương Em"" nha bạn",2019-01-20T05:20:17Z,0,null
4,UgxF7lq02M6lB59txbZ4AaABAg,치 니Hàn Gia Nhi,"""Đừng Như Thói Quen"" nha bạn",2019-01-20T05:21:48Z,1,null
5,UgzZ_FOeCVE4tAqr9h54AaABAg,tiến lường,Đừng như thói quen,2018-12-27T08:40:57Z,0,null
6,UgzF6j7v5F4m8NGJNF54AaABAg,tiến lường,Người âm phủ,2018-12-27T08:43:58Z,0,null
7,UgxxTvwmSjtC_qzeRLJ4AaABAg,tiến lường,Hôngkong 1,2018-12-27T08:44:35Z,0,null
8,Ugw0FEteAChEqOLemFp4AaABAg,Loan Nguyễn,Có sáng tác đc như vậy ko,2018-12-19T07:24:09Z,0,null
9,UgzbmPvzLWxNp9l258t4AaABAg,tiến lường,Hồngkong 1,2018-12-27T08:45:35Z,0,null
10,UgwRQ7xSAzHMenr6dFF4AaABAg,Thinh Doan,Đúng là bài vô cùng. Nhưng ko phải ty tuổi học trò mà là tình yêu của người lính ở đảo xa nhé,2018-12-20T08:01:46Z,0,null
11,UgwRQ7xSAzHMenr6dFF4AaABAg,Olalayaya V.N,"@Dực Hạ k biết à , cứ lên biết Vô cùng (Vì anh thương em)",2018-12-17T14:35:56Z,0,null
12,UgwRQ7xSAzHMenr6dFF4AaABAg,Dực Hạ,Bài vô cùng ? :D??,2018-12-17T14:31:15Z,1,null
13,Ugzo4wuX1R9c02aBBod4AaABAg,Quỳnh Hà,@Simply Life 😂😂,2018-12-28T07:54:09Z,0,null
14,Ugzo4wuX1R9c02aBBod4AaABAg,Simply Life,@Audio Truyện Ma ok,2018-12-27T14:13:27Z,0,null
15,Ugzo4wuX1R9c02aBBod4AaABAg,Audio Truyện Ma,Tác giả sáng tác trong lúc nhìn thấy cây bàng non chịu đựng cơn mưa quá sức,2018-12-27T14:06:46Z,1,null
16,Ugzo4wuX1R9c02aBBod4AaABAg,Simply Life,"Ý nghĩa gì giải thích người ta nghe đi, tính cmt xàm hay sao.",2018-12-27T11:52:02Z,0,null
17,Ugzo4wuX1R9c02aBBod4AaABAg,Tuan Dinh,"Mấy cái vd này xàm loz ấy mà , có cái trend mà cứ nhai đi nhai lại , càng nhai càng nhảm",2018-12-17T12:39:28Z,0,null
18,UgwRx8SCQWmWemhCSUV4AaABAg,tiến lường,Hồngkong1,2018-12-27T08:46:53Z,0,null
19,Ugw7araGM7kWFAL13PF4AaABAg,Thanh Nguyễn,Vì anh thương em... thương luôn con bạn em... cu hướng về ai... làm sao biết được ??????? 😂😂😂,2019-02-02T11:11:48Z,1,null
