,parentId,authorDisplayName,replyComment,publishedAt,likeCount,Label
0,UgzYcC_CZChLjHVCrSZ4AaABAg,Dũng Nguyênz,"cũng hay đấy , cơ mà đời có người hạnh phúc viên mãn có người đấu tranh giữa sóng lớn , có người trải qua cuộc đời bình thường dến nhàm chán .",2021-03-25T16:44:00Z,0,null
1,UgzYcC_CZChLjHVCrSZ4AaABAg,Quang Trần,Lớp du pặc pặc <3,2021-03-21T10:05:11Z,0,null
2,UgyoWAhTw8q6G41kOOp4AaABAg,Hi go,Hiện tại mình đã tạm ngưng việc sub nhạc do công việc khá bận. Mấy bài này cũng đều là tranh thủ nghỉ tết đến tận bây giờ mới hoàn thành. Nên mong bạn thông cảm nhé.,2021-03-23T23:47:49Z,2,null
3,UgwYpnVwp4m7qqcTl9J4AaABAg,Mi Hồng,Bạn nào có link bài lưu quang huyễn dạ ko ạ hay quá mà ko có link để nghe riêng bài đó :(((,2021-04-14T19:07:57Z,0,null
4,UgwYpnVwp4m7qqcTl9J4AaABAg,Khai Tâm Quỷ,@Dang Hung 笑话。,2021-03-28T15:32:02Z,0,null
5,UgwYpnVwp4m7qqcTl9J4AaABAg,Able Aki,tui thấy bạn vô duyen lắK @Dang Hung,2021-03-28T12:21:33Z,0,null
6,UgwYpnVwp4m7qqcTl9J4AaABAg,Dang Hung,"@Ny Nguyen Bài ""Vân Trung Khách"" cũng đâu có video riêng đâu :> Tui copy tên tiếng trung của nó rồi ngồi vừa dịch vừa nghe nhạc cả ngày. Muốn ăn tự lăn vào bếp :3",2021-03-27T03:07:40Z,0,null
7,UgwYpnVwp4m7qqcTl9J4AaABAg,Dang Hung,@Khai Tâm Quỷ mình chỉ không muốn theo dõi kênh nhạc mang phong cách đưa đám. Giọng ma mị vẫn có thể nghe.,2021-03-27T03:06:23Z,0,null
8,Ugw9tIiB1kup1jBqVB54AaABAg,piao Cheng piao,E cũng vậy 🙂🙂,2021-03-31T10:03:39Z,0,null
9,UgxEv9qV_UsYCe0_wQ14AaABAg,Able Aki,mình cũng hóng hớt lắm á,2021-03-28T12:25:06Z,0,null
10,Ugz3fd8-EaGdNS24kHJ4AaABAg,Hi go,"trong phần mô tả phía cuối mình có để đó  c, là font: MTD Elodie",2021-03-21T10:44:01Z,1,null
11,UgzkJ9LZG3EoMJGpQ-t4AaABAg,Hi go,"cảm ơn c, cuối tuần vui vẻ ^^",2021-03-21T09:46:47Z,2,null
