,id,comment,author,likecount,publishedAt,Label
0,UgxH3cuuxOC9g32FD5R4AaABAg,55:00 Lý thuyết và thực tế :))),AERI_ FREYA,0,2021-04-26T06:05:29Z,null
1,UgzFSy0J5IX-IZN7xAV4AaABAg,33:29 hé lô mấy kưng =))))),Lâm,0,2021-04-26T05:32:21Z,null
2,UgzPrnd8BBpiThJzK_R4AaABAg,:))) thả bait,herogg fire dragon,0,2021-04-26T04:15:05Z,null
3,UgwvHBMS7cD0ZC0EtbR4AaABAg,Hành hạ Vuz,Đức Xuân,0,2021-04-26T03:57:37Z,null
4,Ugz-4CQvq3v29YH6FC14AaABAg,1:17:40 Vũ đã trưởng thành 😭,Ayame Nakiri,6,2021-04-25T23:18:39Z,null
5,UgwXj0oVQaUNKJvYUwF4AaABAg,Ji,Chinh Vũ Ngọc,0,2021-04-25T23:13:44Z,null
6,Ugxih3rPbYWRi6QIYXx4AaABAg,Nhìn con ma ghê vc.,Mai Huỳnh,0,2021-04-25T20:36:25Z,null
7,Ugzs2QdpUrEv_Q8tI0l4AaABAg,T nhớ ko nhầm thì team đụt chưa xong vụ con dê ở game này nhỉ,Ryuga Kiryu,0,2021-04-25T17:18:02Z,null
8,Ugxwom16E1g4z3FDdu14AaABAg,"Xem mà khúc cuối căng lắm , cuốn vl",Fiv J,0,2021-04-25T16:01:18Z,null
9,UgwZRcSn_GYFTyCkatB4AaABAg,1:17:40 tôi đã khóc,Anh Hồ,3,2021-04-25T15:13:28Z,null
10,Ugy-BsuoXBPSjDmIxuh4AaABAg,=)),giaitri movies,0,2021-04-25T14:54:48Z,null
11,UgwcQ4nniElfNSgZECl4AaABAg,Đợt bắt dê hình như chưa xong mà nhỉ?,Trần Tiên,0,2021-04-25T14:43:45Z,null
12,UgwyySARn7WLoghtqtR4AaABAg,"Hay như phim Bollywood, tôi đã khóc",Thanos cu tím,1,2021-04-25T14:23:01Z,null
13,UgzOz70AOTc_NRr63md4AaABAg,Phải chi có rikusan với mai linh vào chơi cùng nhỉ 😂😂,Thái Salem,2,2021-04-25T14:10:44Z,null
14,UgyIHwp3aPqdy5QoEep4AaABAg,1:03:23 game kinh dị ngửi mùi trai tơ :))),Harvest Dương,0,2021-04-25T14:06:08Z,null
15,UgyymKCTy0cE3TMgOQV4AaABAg,"1:17:42 ""để em đi trước""",Phuong Tran Khanh,2,2021-04-25T13:36:11Z,null
